CHAMBER,SCIFI_NUMBER,SFP,DEV,BIAS_PARAMETER
FPF2,1,0,0,SET
FPF2,1,0,0,RBV
FPF2,1,0,0,STATE
FPF2,1,0,1,SET
FPF2,1,0,1,RBV
FPF2,1,0,1,STATE
FPF2,1,0,2,SET
FPF2,1,0,2,RBV
FPF2,1,0,2,STATE
FPF2,1,0,3,SET
FPF2,1,0,3,RBV
FPF2,1,0,3,STATE
FPF2,1,0,4,SET
FPF2,1,0,4,RBV
FPF2,1,0,4,STATE
FPF2,1,0,5,SET
FPF2,1,0,5,RBV
FPF2,1,0,5,STATE
FPF2,1,1,0,SET
FPF2,1,1,0,RBV
FPF2,1,1,0,STATE
FPF2,1,1,1,SET
FPF2,1,1,1,RBV
FPF2,1,1,1,STATE
FPF2,1,2,0,SET
FPF2,1,2,0,RBV
FPF2,1,2,0,STATE
FPF2,1,2,1,SET
FPF2,1,2,1,RBV
FPF2,1,2,1,STATE
FPF2,1,2,2,SET
FPF2,1,2,2,RBV
FPF2,1,2,2,STATE
FPF2,1,2,3,SET
FPF2,1,2,3,RBV
FPF2,1,2,3,STATE
FPF2,1,2,4,SET
FPF2,1,2,4,RBV
FPF2,1,2,4,STATE
FPF2,1,2,5,SET
FPF2,1,2,5,RBV
FPF2,1,2,5,STATE
FPF2,1,3,0,SET
FPF2,1,3,0,RBV
FPF2,1,3,0,STATE
FPF2,1,3,1,SET
FPF2,1,3,1,RBV
FPF2,1,3,1,STATE
FPF2,2,0,0,SET
FPF2,2,0,0,RBV
FPF2,2,0,0,STATE
FPF2,2,0,1,SET
FPF2,2,0,1,RBV
FPF2,2,0,1,STATE
FPF2,2,0,2,SET
FPF2,2,0,2,RBV
FPF2,2,0,2,STATE
FPF2,2,0,3,SET
FPF2,2,0,3,RBV
FPF2,2,0,3,STATE
FPF2,2,0,4,SET
FPF2,2,0,4,RBV
FPF2,2,0,4,STATE
FPF2,2,0,5,SET
FPF2,2,0,5,RBV
FPF2,2,0,5,STATE
FPF2,2,1,0,SET
FPF2,2,1,0,RBV
FPF2,2,1,0,STATE
FPF2,2,1,1,SET
FPF2,2,1,1,RBV
FPF2,2,1,1,STATE
FPF2,2,2,0,SET
FPF2,2,2,0,RBV
FPF2,2,2,0,STATE
FPF2,2,2,1,SET
FPF2,2,2,1,RBV
FPF2,2,2,1,STATE
FPF2,2,2,2,SET
FPF2,2,2,2,RBV
FPF2,2,2,2,STATE
FPF2,2,2,3,SET
FPF2,2,2,3,RBV
FPF2,2,2,3,STATE
FPF2,2,2,4,SET
FPF2,2,2,4,RBV
FPF2,2,2,4,STATE
FPF2,2,2,5,SET
FPF2,2,2,5,RBV
FPF2,2,2,5,STATE
FPF2,2,3,0,SET
FPF2,2,3,0,RBV
FPF2,2,3,0,STATE
FPF2,2,3,1,SET
FPF2,2,3,1,RBV
FPF2,2,3,1,STATE
FPF3,1,0,0,SET
FPF3,1,0,0,RBV
FPF3,1,0,0,STATE
FPF3,1,0,1,SET
FPF3,1,0,1,RBV
FPF3,1,0,1,STATE
FPF3,1,0,2,SET
FPF3,1,0,2,RBV
FPF3,1,0,2,STATE
FPF3,1,0,3,SET
FPF3,1,0,3,RBV
FPF3,1,0,3,STATE
FPF3,1,0,4,SET
FPF3,1,0,4,RBV
FPF3,1,0,4,STATE
FPF3,1,0,5,SET
FPF3,1,0,5,RBV
FPF3,1,0,5,STATE
FPF3,1,1,0,SET
FPF3,1,1,0,RBV
FPF3,1,1,0,STATE
FPF3,1,1,1,SET
FPF3,1,1,1,RBV
FPF3,1,1,1,STATE
FPF3,1,2,0,SET
FPF3,1,2,0,RBV
FPF3,1,2,0,STATE
FPF3,1,2,1,SET
FPF3,1,2,1,RBV
FPF3,1,2,1,STATE
FPF3,1,2,2,SET
FPF3,1,2,2,RBV
FPF3,1,2,2,STATE
FPF3,1,2,3,SET
FPF3,1,2,3,RBV
FPF3,1,2,3,STATE
FPF3,1,2,4,SET
FPF3,1,2,4,RBV
FPF3,1,2,4,STATE
FPF3,1,2,5,SET
FPF3,1,2,5,RBV
FPF3,1,2,5,STATE
FPF3,1,3,0,SET
FPF3,1,3,0,RBV
FPF3,1,3,0,STATE
FPF3,1,3,1,SET
FPF3,1,3,1,RBV
FPF3,1,3,1,STATE
FPF4,1,0,0,SET
FPF4,1,0,0,RBV
FPF4,1,0,0,STATE
FPF4,1,0,1,SET
FPF4,1,0,1,RBV
FPF4,1,0,1,STATE
FPF4,1,0,2,SET
FPF4,1,0,2,RBV
FPF4,1,0,2,STATE
FPF4,1,0,3,SET
FPF4,1,0,3,RBV
FPF4,1,0,3,STATE
FPF4,1,0,4,SET
FPF4,1,0,4,RBV
FPF4,1,0,4,STATE
FPF4,1,0,5,SET
FPF4,1,0,5,RBV
FPF4,1,0,5,STATE
FPF4,1,1,0,SET
FPF4,1,1,0,RBV
FPF4,1,1,0,STATE
FPF4,1,1,1,SET
FPF4,1,1,1,RBV
FPF4,1,1,1,STATE
FPF4,1,2,0,SET
FPF4,1,2,0,RBV
FPF4,1,2,0,STATE
FPF4,1,2,1,SET
FPF4,1,2,1,RBV
FPF4,1,2,1,STATE
FPF4,1,2,2,SET
FPF4,1,2,2,RBV
FPF4,1,2,2,STATE
FPF4,1,2,3,SET
FPF4,1,2,3,RBV
FPF4,1,2,3,STATE
FPF4,1,2,4,SET
FPF4,1,2,4,RBV
FPF4,1,2,4,STATE
FPF4,1,2,5,SET
FPF4,1,2,5,RBV
FPF4,1,2,5,STATE
FPF4,1,3,0,SET
FPF4,1,3,0,RBV
FPF4,1,3,0,STATE
FPF4,1,3,1,SET
FPF4,1,3,1,RBV
FPF4,1,3,1,STATE
FPF4,2,0,0,SET
FPF4,2,0,0,RBV
FPF4,2,0,0,STATE
FPF4,2,0,1,SET
FPF4,2,0,1,RBV
FPF4,2,0,1,STATE
FPF4,2,0,2,SET
FPF4,2,0,2,RBV
FPF4,2,0,2,STATE
FPF4,2,0,3,SET
FPF4,2,0,3,RBV
FPF4,2,0,3,STATE
FPF4,2,0,4,SET
FPF4,2,0,4,RBV
FPF4,2,0,4,STATE
FPF4,2,0,5,SET
FPF4,2,0,5,RBV
FPF4,2,0,5,STATE
FPF4,2,1,0,SET
FPF4,2,1,0,RBV
FPF4,2,1,0,STATE
FPF4,2,1,1,SET
FPF4,2,1,1,RBV
FPF4,2,1,1,STATE
FPF4,2,2,0,SET
FPF4,2,2,0,RBV
FPF4,2,2,0,STATE
FPF4,2,2,1,SET
FPF4,2,2,1,RBV
FPF4,2,2,1,STATE
FPF4,2,2,2,SET
FPF4,2,2,2,RBV
FPF4,2,2,2,STATE
FPF4,2,2,3,SET
FPF4,2,2,3,RBV
FPF4,2,2,3,STATE
FPF4,2,2,4,SET
FPF4,2,2,4,RBV
FPF4,2,2,4,STATE
FPF4,2,2,5,SET
FPF4,2,2,5,RBV
FPF4,2,2,5,STATE
FPF4,2,3,0,SET
FPF4,2,3,0,RBV
FPF4,2,3,0,STATE
FPF4,2,3,1,SET
FPF4,2,3,1,RBV
FPF4,2,3,1,STATE
FMF1,1,0,0,SET
FMF1,1,0,0,RBV
FMF1,1,0,0,STATE
FMF1,1,0,1,SET
FMF1,1,0,1,RBV
FMF1,1,0,1,STATE
FMF1,1,0,2,SET
FMF1,1,0,2,RBV
FMF1,1,0,2,STATE
FMF1,1,0,3,SET
FMF1,1,0,3,RBV
FMF1,1,0,3,STATE
FMF1,1,0,4,SET
FMF1,1,0,4,RBV
FMF1,1,0,4,STATE
FMF1,1,0,5,SET
FMF1,1,0,5,RBV
FMF1,1,0,5,STATE
FMF1,1,1,0,SET
FMF1,1,1,0,RBV
FMF1,1,1,0,STATE
FMF1,1,1,1,SET
FMF1,1,1,1,RBV
FMF1,1,1,1,STATE
FMF1,1,2,0,SET
FMF1,1,2,0,RBV
FMF1,1,2,0,STATE
FMF1,1,2,1,SET
FMF1,1,2,1,RBV
FMF1,1,2,1,STATE
FMF1,1,2,2,SET
FMF1,1,2,2,RBV
FMF1,1,2,2,STATE
FMF1,1,2,3,SET
FMF1,1,2,3,RBV
FMF1,1,2,3,STATE
FMF1,1,2,4,SET
FMF1,1,2,4,RBV
FMF1,1,2,4,STATE
FMF1,1,2,5,SET
FMF1,1,2,5,RBV
FMF1,1,2,5,STATE
FMF1,1,3,0,SET
FMF1,1,3,0,RBV
FMF1,1,3,0,STATE
FMF1,1,3,1,SET
FMF1,1,3,1,RBV
FMF1,1,3,1,STATE
FMF1,2,0,0,SET
FMF1,2,0,0,RBV
FMF1,2,0,0,STATE
FMF1,2,0,1,SET
FMF1,2,0,1,RBV
FMF1,2,0,1,STATE
FMF1,2,0,2,SET
FMF1,2,0,2,RBV
FMF1,2,0,2,STATE
FMF1,2,0,3,SET
FMF1,2,0,3,RBV
FMF1,2,0,3,STATE
FMF1,2,0,4,SET
FMF1,2,0,4,RBV
FMF1,2,0,4,STATE
FMF1,2,0,5,SET
FMF1,2,0,5,RBV
FMF1,2,0,5,STATE
FMF1,2,1,0,SET
FMF1,2,1,0,RBV
FMF1,2,1,0,STATE
FMF1,2,1,1,SET
FMF1,2,1,1,RBV
FMF1,2,1,1,STATE
FMF1,2,2,0,SET
FMF1,2,2,0,RBV
FMF1,2,2,0,STATE
FMF1,2,2,1,SET
FMF1,2,2,1,RBV
FMF1,2,2,1,STATE
FMF1,2,2,2,SET
FMF1,2,2,2,RBV
FMF1,2,2,2,STATE
FMF1,2,2,3,SET
FMF1,2,2,3,RBV
FMF1,2,2,3,STATE
FMF1,2,2,4,SET
FMF1,2,2,4,RBV
FMF1,2,2,4,STATE
FMF1,2,2,5,SET
FMF1,2,2,5,RBV
FMF1,2,2,5,STATE
FMF1,2,3,0,SET
FMF1,2,3,0,RBV
FMF1,2,3,0,STATE
FMF1,2,3,1,SET
FMF1,2,3,1,RBV
FMF1,2,3,1,STATE
FMF2,1,0,0,SET
FMF2,1,0,0,RBV
FMF2,1,0,0,STATE
FMF2,1,0,1,SET
FMF2,1,0,1,RBV
FMF2,1,0,1,STATE
FMF2,1,0,2,SET
FMF2,1,0,2,RBV
FMF2,1,0,2,STATE
FMF2,1,0,3,SET
FMF2,1,0,3,RBV
FMF2,1,0,3,STATE
FMF2,1,0,4,SET
FMF2,1,0,4,RBV
FMF2,1,0,4,STATE
FMF2,1,0,5,SET
FMF2,1,0,5,RBV
FMF2,1,0,5,STATE
FMF2,1,1,0,SET
FMF2,1,1,0,RBV
FMF2,1,1,0,STATE
FMF2,1,1,1,SET
FMF2,1,1,1,RBV
FMF2,1,1,1,STATE
FMF2,1,2,0,SET
FMF2,1,2,0,RBV
FMF2,1,2,0,STATE
FMF2,1,2,1,SET
FMF2,1,2,1,RBV
FMF2,1,2,1,STATE
FMF2,1,2,2,SET
FMF2,1,2,2,RBV
FMF2,1,2,2,STATE
FMF2,1,2,3,SET
FMF2,1,2,3,RBV
FMF2,1,2,3,STATE
FMF2,1,2,4,SET
FMF2,1,2,4,RBV
FMF2,1,2,4,STATE
FMF2,1,2,5,SET
FMF2,1,2,5,RBV
FMF2,1,2,5,STATE
FMF2,1,3,0,SET
FMF2,1,3,0,RBV
FMF2,1,3,0,STATE
FMF2,1,3,1,SET
FMF2,1,3,1,RBV
FMF2,1,3,1,STATE
FMF2,2,0,0,SET
FMF2,2,0,0,RBV
FMF2,2,0,0,STATE
FMF2,2,0,1,SET
FMF2,2,0,1,RBV
FMF2,2,0,1,STATE
FMF2,2,0,2,SET
FMF2,2,0,2,RBV
FMF2,2,0,2,STATE
FMF2,2,0,3,SET
FMF2,2,0,3,RBV
FMF2,2,0,3,STATE
FMF2,2,0,4,SET
FMF2,2,0,4,RBV
FMF2,2,0,4,STATE
FMF2,2,0,5,SET
FMF2,2,0,5,RBV
FMF2,2,0,5,STATE
FMF2,2,1,0,SET
FMF2,2,1,0,RBV
FMF2,2,1,0,STATE
FMF2,2,1,1,SET
FMF2,2,1,1,RBV
FMF2,2,1,1,STATE
FMF2,2,2,0,SET
FMF2,2,2,0,RBV
FMF2,2,2,0,STATE
FMF2,2,2,1,SET
FMF2,2,2,1,RBV
FMF2,2,2,1,STATE
FMF2,2,2,2,SET
FMF2,2,2,2,RBV
FMF2,2,2,2,STATE
FMF2,2,2,3,SET
FMF2,2,2,3,RBV
FMF2,2,2,3,STATE
FMF2,2,2,4,SET
FMF2,2,2,4,RBV
FMF2,2,2,4,STATE
FMF2,2,2,5,SET
FMF2,2,2,5,RBV
FMF2,2,2,5,STATE
FMF2,2,3,0,SET
FMF2,2,3,0,RBV
FMF2,2,3,0,STATE
FMF2,2,3,1,SET
FMF2,2,3,1,RBV
FMF2,2,3,1,STATE
FMF3,1,0,0,SET
FMF3,1,0,0,RBV
FMF3,1,0,0,STATE
FMF3,1,0,1,SET
FMF3,1,0,1,RBV
FMF3,1,0,1,STATE
FMF3,1,0,2,SET
FMF3,1,0,2,RBV
FMF3,1,0,2,STATE
