CHAMBER,SCIFI_NUMBER,SFP,DEV,SENSOR
FPF2,1,0,0,FPGA
FPF2,1,0,0,SIPM
FPF2,1,0,0,FEB
FPF2,1,0,1,FPGA
FPF2,1,0,1,SIPM
FPF2,1,0,1,FEB
FPF2,1,0,2,FPGA
FPF2,1,0,2,SIPM
FPF2,1,0,2,FEB
FPF2,1,0,3,FPGA
FPF2,1,0,3,SIPM
FPF2,1,0,3,FEB
FPF2,1,0,4,FPGA
FPF2,1,0,4,SIPM
FPF2,1,0,4,FEB
FPF2,1,0,5,FPGA
FPF2,1,0,5,SIPM
FPF2,1,0,5,FEB
FPF2,1,1,0,FPGA
FPF2,1,1,0,SIPM
FPF2,1,1,0,FEB
FPF2,1,1,1,FPGA
FPF2,1,1,1,SIPM
FPF2,1,1,1,FEB
FPF2,1,2,0,FPGA
FPF2,1,2,0,SIPM
FPF2,1,2,0,FEB
FPF2,1,2,1,FPGA
FPF2,1,2,1,SIPM
FPF2,1,2,1,FEB
FPF2,1,2,2,FPGA
FPF2,1,2,2,SIPM
FPF2,1,2,2,FEB
FPF2,1,2,3,FPGA
FPF2,1,2,3,SIPM
FPF2,1,2,3,FEB
FPF2,1,2,4,FPGA
FPF2,1,2,4,SIPM
FPF2,1,2,4,FEB
FPF2,1,2,5,FPGA
FPF2,1,2,5,SIPM
FPF2,1,2,5,FEB
FPF2,1,3,0,FPGA
FPF2,1,3,0,SIPM
FPF2,1,3,0,FEB
FPF2,1,3,1,FPGA
FPF2,1,3,1,SIPM
FPF2,1,3,1,FEB
FPF2,2,0,0,FPGA
FPF2,2,0,0,SIPM
FPF2,2,0,0,FEB
FPF2,2,0,1,FPGA
FPF2,2,0,1,SIPM
FPF2,2,0,1,FEB
FPF2,2,0,2,FPGA
FPF2,2,0,2,SIPM
FPF2,2,0,2,FEB
FPF2,2,0,3,FPGA
FPF2,2,0,3,SIPM
FPF2,2,0,3,FEB
FPF2,2,0,4,FPGA
FPF2,2,0,4,SIPM
FPF2,2,0,4,FEB
FPF2,2,0,5,FPGA
FPF2,2,0,5,SIPM
FPF2,2,0,5,FEB
FPF2,2,1,0,FPGA
FPF2,2,1,0,SIPM
FPF2,2,1,0,FEB
FPF2,2,1,1,FPGA
FPF2,2,1,1,SIPM
FPF2,2,1,1,FEB
FPF2,2,2,0,FPGA
FPF2,2,2,0,SIPM
FPF2,2,2,0,FEB
FPF2,2,2,1,FPGA
FPF2,2,2,1,SIPM
FPF2,2,2,1,FEB
FPF2,2,2,2,FPGA
FPF2,2,2,2,SIPM
FPF2,2,2,2,FEB
FPF2,2,2,3,FPGA
FPF2,2,2,3,SIPM
FPF2,2,2,3,FEB
FPF2,2,2,4,FPGA
FPF2,2,2,4,SIPM
FPF2,2,2,4,FEB
FPF2,2,2,5,FPGA
FPF2,2,2,5,SIPM
FPF2,2,2,5,FEB
FPF2,2,3,0,FPGA
FPF2,2,3,0,SIPM
FPF2,2,3,0,FEB
FPF2,2,3,1,FPGA
FPF2,2,3,1,SIPM
FPF2,2,3,1,FEB
FPF3,1,0,0,FPGA
FPF3,1,0,0,SIPM
FPF3,1,0,0,FEB
FPF3,1,0,1,FPGA
FPF3,1,0,1,SIPM
FPF3,1,0,1,FEB
FPF3,1,0,2,FPGA
FPF3,1,0,2,SIPM
FPF3,1,0,2,FEB
FPF3,1,0,3,FPGA
FPF3,1,0,3,SIPM
FPF3,1,0,3,FEB
FPF3,1,0,4,FPGA
FPF3,1,0,4,SIPM
FPF3,1,0,4,FEB
FPF3,1,0,5,FPGA
FPF3,1,0,5,SIPM
FPF3,1,0,5,FEB
FPF3,1,1,0,FPGA
FPF3,1,1,0,SIPM
FPF3,1,1,0,FEB
FPF3,1,1,1,FPGA
FPF3,1,1,1,SIPM
FPF3,1,1,1,FEB
FPF3,1,2,0,FPGA
FPF3,1,2,0,SIPM
FPF3,1,2,0,FEB
FPF3,1,2,1,FPGA
FPF3,1,2,1,SIPM
FPF3,1,2,1,FEB
FPF3,1,2,2,FPGA
FPF3,1,2,2,SIPM
FPF3,1,2,2,FEB
FPF3,1,2,3,FPGA
FPF3,1,2,3,SIPM
FPF3,1,2,3,FEB
FPF3,1,2,4,FPGA
FPF3,1,2,4,SIPM
FPF3,1,2,4,FEB
FPF3,1,2,5,FPGA
FPF3,1,2,5,SIPM
FPF3,1,2,5,FEB
FPF3,1,3,0,FPGA
FPF3,1,3,0,SIPM
FPF3,1,3,0,FEB
FPF3,1,3,1,FPGA
FPF3,1,3,1,SIPM
FPF3,1,3,1,FEB
FPF4,1,0,0,FPGA
FPF4,1,0,0,SIPM
FPF4,1,0,0,FEB
FPF4,1,0,1,FPGA
FPF4,1,0,1,SIPM
FPF4,1,0,1,FEB
FPF4,1,0,2,FPGA
